neighbourhood_group_cleansed,number_of_reviews
Ambars-et-Lagrave,69
Ambs,57
Artigues-Prs-Bordeaux,111
Bassens,32
Bgles,410
Blanquefort,113
Bordeaux,6051
Bouliac,95
Bruges,183
Carbon-Blanc,50
Cenon,230
Eysines,156
Floirac,137
Gradignan,190
Le Bouscat,297
Le Haillan,45
Le Taillan-Mdoc,80
Lormont,133
Martignas-sur-Jalle,71
Merignac,597
Parempuyre,57
Pessac,532
Saint-Aubin-de-Mdoc,88
Saint-Louis-de-Montferrand,16
Saint-Mdard-en-Jalles,238
Saint-Vincent-de-Paul,33
Talence,494
Villenave-d'Ornon,320
